"","M","year","Country","President","Positive","Negative","DK-Neutral","Neutral","DK","QuestType","SampleType","SampleSize","SampleMode","Question","Institute","SurveyName","Source","Notes","PresidentS","date","Q","presUsed","useM","popM.li","latentM"
"744","2019-11",2019,"Brazil","Bolsonaro",27,42,NA,30,1,"Ot-Bom",NA,NA,NA,"Como voc� avalia o governo do Presidente Jair Bolsonaro?","Atlas","Atlas","file: 2020-05-Atlas.pdf",NA,"BOLSONARO",2019-11-15,"2019-4","BOLSONARO",TRUE,33.7666666666667,33.0193144701146
"745","2019-11",2019,"Brazil","Bolsonaro",37,32,NA,28,3,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2019-11-21,"2019-4","BOLSONARO",TRUE,33.7666666666667,33.0193144701146
"746","2019-11",2019,"Brazil","Bolsonaro",39,29,NA,29,3,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2019-11-28,"2019-4","BOLSONARO",TRUE,33.7666666666667,33.0193144701146
"747","2019-12",2019,"Brazil","Bolsonaro",35,33,NA,28,4,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2019-12-05,"2019-4","BOLSONARO",TRUE,33.57,30.4195383825187
"748","2019-12",2019,"Brazil","Bolsonaro",30,36,NA,32,1,"Ot-Bom",NA,2948,NA,"Na sua opinićo o presidente Jair Bolsonaro est_ fazendo um governo Ütimo, bom, regular, ruim ou p_ssimo?","Datafolha","Datafolha","http://datafolha.folha.uol.com.br/opiniaopublica/2019/12/1988542-bolsonaro-e-aprovado-por-30-apos-um-ano-de-governo.shtml",NA,"BOLSONARO",2019-12-06,"2019-4","BOLSONARO",TRUE,33.57,30.4195383825187
"749","2019-12",2019,"Brazil","Bolsonaro",35,39,NA,25,1,"Ot-Bom",NA,1000,NA,"Como o(a) sr(a) avalia o governo de Jair Bolsonaro at_ o momento?","IPESPE","XP-IPESPE","https://conteudos.xpi.com.br/politica/pesquisas-xp-2/",NA,"BOLSONARO",2019-12-11,"2019-4","BOLSONARO",TRUE,33.57,30.4195383825187
"750","2019-12",2019,"Brazil","Bolsonaro",35,33,NA,28,4,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2019-12-11,"2019-4","BOLSONARO",TRUE,33.57,30.4195383825187
"751","2019-12",2019,"Brazil","Bolsonaro",30.7,34.5,NA,30.3,4.5,"Ot-Bom",NA,NA,NA,"Na sua avaliaŤćo, o governo do presidente Jair Bolsonaro est_ sendo Ütimo, bom, regular, ruim ou p_ssimo?","IBPAD","JOTA/IBPAD","https://www.jota.info/dados/aprovacao-de-bolsonaro-pesquisa-jota-04022020",NA,"BOLSONARO",2019-12-15,"2019-4","BOLSONARO",TRUE,33.57,30.4195383825187
"752","2019-12",2019,"Brazil","Bolsonaro",29,32,NA,36,2,"Ot-Bom",NA,1000,NA,"Na sua avaliaŤćo, o governo do presidente Jair Bolsonaro est_ sendo Ütimo, bom, regular, ruim ou p_ssimo?","Quaest","JOTA/Quaest","https://www.jota.info/dados/avaliacao-do-governo-bolsonaro-atinge-pior-nivel-em-serie-de-pesquisa-22062020",NA,"BOLSONARO",2019-12-15,"2019-4","BOLSONARO",TRUE,33.57,30.4195383825187
"753","2019-12",2019,"Brazil","Bolsonaro",36,33,NA,27,4,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2019-12-19,"2019-4","BOLSONARO",TRUE,33.57,30.4195383825187
"754","2019-12",2019,"Brazil","Bolsonaro",29,38,NA,29,3,"Ot-Bom",NA,2000,NA,"Na sua avaliaŤÜo, o governo do presidente Jair Bolsonaro estŕ sendo:","IBOPE","CNI/IBOPE","https://noticias.uol.com.br/politica/ultimas-noticias/2019/12/20/ibope-divulga-aprovacao-do-governo-bolsonaro.htm",NA,"BOLSONARO",2019-12-22,"2019-4","BOLSONARO",TRUE,33.57,30.4195383825187
"755","2019-12",2019,"Brazil","Bolsonaro",38,30,NA,28,4,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2019-12-26,"2019-4","BOLSONARO",TRUE,33.57,30.4195383825187
"756","2019-12",2019,"Brazil","Bolsonaro",38,31,NA,26,4,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2019-12-28,"2019-4","BOLSONARO",TRUE,33.57,30.4195383825187
"757","2020-01",2020,"Brazil","Bolsonaro",30,34,NA,33,3,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-01-09,"2020-1","BOLSONARO",TRUE,35.2571428571429,31.5846398997377
"758","2020-01",2020,"Brazil","Bolsonaro",32,39,NA,28,1,"Ot-Bom",NA,1000,NA,"Como o(a) sr(a) avalia o governo de Jair Bolsonaro at_ o momento?","IPESPE","XP-IPESPE","https://conteudos.xpi.com.br/politica/pesquisas-xp-2/",NA,"BOLSONARO",2020-01-15,"2020-1","BOLSONARO",TRUE,35.2571428571429,31.5846398997377
"759","2020-01",2020,"Brazil","Bolsonaro",39,30,NA,29,3,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-01-16,"2020-1","BOLSONARO",TRUE,35.2571428571429,31.5846398997377
"760","2020-01",2020,"Brazil","Bolsonaro",34.5,31,NA,32.1,2.4,"Ot-Bom",NA,2002,NA,"O (a) Sr. (a) avalia o governo do presidente Jair Bolsonaro como: Ótimo, Bom, Regular, Ruim, ou P_ssimo?","MDA","CNT/MDA","https://www.cnt.org.br/pesquisas",NA,"BOLSONARO",2020-01-18,"2020-1","BOLSONARO",TRUE,35.2571428571429,31.5846398997377
"761","2020-01",2020,"Brazil","Bolsonaro",39,28,NA,29,4,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-01-23,"2020-1","BOLSONARO",TRUE,35.2571428571429,31.5846398997377
"762","2020-01",2020,"Brazil","Bolsonaro",38,27,NA,32,3,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-01-30,"2020-1","BOLSONARO",TRUE,35.2571428571429,31.5846398997377
"763","2020-01",2020,"Brazil","Bolsonaro",34.3,32,NA,31,2.7,"Ot-Bom",NA,1022,NA,"Na sua avaliaŤćo, o governo do presidente Jair Bolsonaro est_ sendo Ütimo, bom, regular, ruim ou p_ssimo?","IBPAD","JOTA/IBPAD","https://www.jota.info/dados/aprovacao-de-bolsonaro-pesquisa-jota-04022020",NA,"BOLSONARO",2020-01-31,"2020-1","BOLSONARO",TRUE,35.2571428571429,31.5846398997377
"764","2020-02",2020,"Brazil","Bolsonaro",38,28,NA,30,4,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-02-06,"2020-1","BOLSONARO",TRUE,35.4,32.2986311901879
"765","2020-02",2020,"Brazil","Bolsonaro",39,27,NA,31,3,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-02-13,"2020-1","BOLSONARO",TRUE,35.4,32.2986311901879
"766","2020-02",2020,"Brazil","Bolsonaro",29,38,NA,31,2,"Ot-Bom",NA,NA,NA,"Como voc� avalia o governo do Presidente Jair Bolsonaro?","Atlas","Atlas","file: 2020-05-Atlas.pdf",NA,"BOLSONARO",2020-02-15,"2020-1","BOLSONARO",TRUE,35.4,32.2986311901879
"767","2020-02",2020,"Brazil","Bolsonaro",34,36,NA,29,2,"Ot-Bom",NA,1000,NA,"Como o(a) sr(a) avalia o governo de Jair Bolsonaro at_ o momento?","IPESPE","XP-IPESPE","https://conteudos.xpi.com.br/politica/pesquisas-xp-2/",NA,"BOLSONARO",2020-02-19,"2020-1","BOLSONARO",TRUE,35.4,32.2986311901879
"768","2020-02",2020,"Brazil","Bolsonaro",37,28,NA,30,4,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-02-20,"2020-1","BOLSONARO",TRUE,35.4,32.2986311901879
"769","2020-03",2020,"Brazil","Bolsonaro",39,26,NA,30,5,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-03-05,"2020-1","BOLSONARO",TRUE,32.1428571428571,28.6554241378318
"770","2020-03",2020,"Brazil","Bolsonaro",30,35,NA,34,1,"Ot-Bom",NA,1000,NA,"Na sua avaliaŤćo, o governo do presidente Jair Bolsonaro est_ sendo Ütimo, bom, regular, ruim ou p_ssimo?","Quaest","JOTA/Quaest","https://www.jota.info/dados/avaliacao-do-governo-bolsonaro-atinge-pior-nivel-em-serie-de-pesquisa-22062020",NA,"BOLSONARO",2020-03-15,"2020-1","BOLSONARO",TRUE,32.1428571428571,28.6554241378318
"771","2020-03",2020,"Brazil","Bolsonaro",26,41,NA,33,0,"Ot-Bom",NA,NA,NA,"Como voc� avalia o governo do Presidente Jair Bolsonaro?","Atlas","Atlas","file: 2020-05-Atlas.pdf",NA,"BOLSONARO",2020-03-15,"2020-1","BOLSONARO",TRUE,32.1428571428571,28.6554241378318
"772","2020-03",2020,"Brazil","Bolsonaro",30,36,NA,31,3,"Ot-Bom",NA,1000,NA,"Como o(a) sr(a) avalia o governo de Jair Bolsonaro at_ o momento?","IPESPE","XP-IPESPE","https://conteudos.xpi.com.br/politica/pesquisas-xp-2/",NA,"BOLSONARO",2020-03-18,"2020-1","BOLSONARO",TRUE,32.1428571428571,28.6554241378318
"773","2020-03",2020,"Brazil","Bolsonaro",38,30,NA,28,5,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-03-19,"2020-1","BOLSONARO",TRUE,32.1428571428571,28.6554241378318
"774","2020-03",2020,"Brazil","Bolsonaro",28,40,NA,29,3,"Ot-Bom",NA,1000,NA,"Na sua avaliaŤćo, o governo do presidente Jair Bolsonaro est_ sendo Ütimo, bom, regular, ruim ou p_ssimo?","Quaest","JOTA/Quaest","https://www.jota.info/dados/avaliacao-do-governo-bolsonaro-atinge-pior-nivel-em-serie-de-pesquisa-22062020",NA,"BOLSONARO",2020-03-23,"2020-1","BOLSONARO",TRUE,32.1428571428571,28.6554241378318
"775","2020-03",2020,"Brazil","Bolsonaro",34,36,NA,26,4,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-03-25,"2020-1","BOLSONARO",TRUE,32.1428571428571,28.6554241378318
"776","2020-04",2020,"Brazil","Bolsonaro",28,42,NA,27,3,"Ot-Bom",NA,1000,NA,"Como o(a) sr(a) avalia o governo de Jair Bolsonaro at_ o momento?","IPESPE","XP-IPESPE","https://conteudos.xpi.com.br/politica/pesquisas-xp-2/",NA,"BOLSONARO",2020-04-01,"2020-2","BOLSONARO",TRUE,30.0625,25.6750502040348
"777","2020-04",2020,"Brazil","Bolsonaro",32,36,NA,28,3,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-04-01,"2020-2","BOLSONARO",TRUE,30.0625,25.6750502040348
"778","2020-04",2020,"Brazil","Bolsonaro",34,34,NA,29,3,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-04-08,"2020-2","BOLSONARO",TRUE,30.0625,25.6750502040348
"779","2020-04",2020,"Brazil","Bolsonaro",30,40,NA,26,3,"Ot-Bom",NA,NA,NA,"Como o(a) sr(a) avalia o governo de Jair Bolsonaro at_ o momento?","IPESPE","XP-IPESPE","https://conteudos.xpi.com.br/politica/pesquisas-xp-2/",NA,"BOLSONARO",2020-04-15,"2020-2","BOLSONARO",TRUE,30.0625,25.6750502040348
"780","2020-04",2020,"Brazil","Bolsonaro",36,33,NA,28,3,"Ot-Bom",NA,2500,NA,"De maneira geral, como voc� avalia o trabalho do presidente Jair Bolsonaro?","DataPoder360","DataPoder360","https://www.poder360.com.br/datapoder360/entenda-como-foi-realizada-a-pesquisa-datapoder360/",NA,"BOLSONARO",2020-04-15,"2020-2","BOLSONARO",TRUE,30.0625,25.6750502040348
"781","2020-04",2020,"Brazil","Bolsonaro",31,45,NA,24,0,"Ot-Bom",NA,1000,NA,"Na sua avaliaŤćo, o governo do presidente Jair Bolsonaro est_ sendo Ütimo, bom, regular, ruim ou p_ssimo?","Quaest","JOTA/Quaest","https://www.jota.info/dados/avaliacao-do-governo-bolsonaro-atinge-pior-nivel-em-serie-de-pesquisa-22062020",NA,"BOLSONARO",2020-04-15,"2020-2","BOLSONARO",TRUE,30.0625,25.6750502040348
"782","2020-04",2020,"Brazil","Bolsonaro",21,49,NA,28,2,"Ot-Bom",NA,NA,NA,"Como voc� avalia o governo do Presidente Jair Bolsonaro?","Atlas","Atlas","file: 2020-05-Atlas.pdf",NA,"BOLSONARO",2020-04-15,"2020-2","BOLSONARO",TRUE,30.0625,25.6750502040348
"783","2020-04",2020,"Brazil","Bolsonaro",34,33,NA,30,3,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-04-16,"2020-2","BOLSONARO",TRUE,30.0625,25.6750502040348
"784","2020-04",2020,"Brazil","Bolsonaro",31,42,NA,26,2,"Ot-Bom",NA,NA,NA,"Como o(a) sr(a) avalia o governo de Jair Bolsonaro at_ o momento?","IPESPE","XP-IPESPE","https://conteudos.xpi.com.br/politica/pesquisas-xp-2/",NA,"BOLSONARO",2020-04-22,"2020-2","BOLSONARO",TRUE,30.0625,25.6750502040348
"785","2020-04",2020,"Brazil","Bolsonaro",36,34,NA,27,3,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-04-23,"2020-2","BOLSONARO",TRUE,30.0625,25.6750502040348
"786","2020-04",2020,"Brazil","Bolsonaro",31,42,NA,24,3,"Ot-Bom",NA,800,NA,"Como o(a) sr(a) avalia o governo de Jair Bolsonaro at_ o momento?","IPESPE","XP-IPESPE","https://conteudos.xpi.com.br/politica/pesquisas-xp-2/",NA,"BOLSONARO",2020-04-24,"2020-2","BOLSONARO",TRUE,30.0625,25.6750502040348
"787","2020-04",2020,"Brazil","Bolsonaro",20,48,NA,30,2,"Ot-Bom",NA,1000,NA,"Na sua avaliaŤćo, o governo do presidente Jair Bolsonaro est_ sendo Ütimo, bom, regular, ruim ou p_ssimo?","Quaest","JOTA/Quaest","https://www.jota.info/dados/avaliacao-do-governo-bolsonaro-atinge-pior-nivel-em-serie-de-pesquisa-22062020",NA,"BOLSONARO",2020-04-26,"2020-2","BOLSONARO",TRUE,30.0625,25.6750502040348
"788","2020-04",2020,"Brazil","Bolsonaro",33,38,NA,26,3,"Ot-Bom",NA,1503,"Telephone","Na sua opinićo o presidente Jair Bolsonaro est_ fazendo um governo Ütimo, bom, regular, ruim ou p_ssimo?","Datafolha","Datafolha","https://www1.folha.uol.com.br/poder/2020/04/impeachment-de-bolsonaro-divide-o-pais-mas-presidente-mantem-base-de-apoio-diz-datafolha.shtml","Phone survey due to the pandemic (Datafolha usually does face to face interviews)","BOLSONARO",2020-04-27,"2020-2","BOLSONARO",TRUE,30.0625,25.6750502040348
"789","2020-04",2020,"Brazil","Bolsonaro",29,40,NA,26,5,"Ot-Bom",NA,2500,NA,"De maneira geral, como voc� avalia o trabalho do presidente Jair Bolsonaro?","DataPoder360","DataPoder360","https://www.poder360.com.br/datapoder360/entenda-como-foi-realizada-a-pesquisa-datapoder360/",NA,"BOLSONARO",2020-04-29,"2020-2","BOLSONARO",TRUE,30.0625,25.6750502040348
"790","2020-04",2020,"Brazil","Bolsonaro",27,49,NA,24,1,"Ot-Bom",NA,1000,NA,"Como o(a) sr(a) avalia o governo de Jair Bolsonaro at_ o momento?","IPESPE","XP-IPESPE","https://conteudos.xpi.com.br/politica/pesquisas-xp-2/",NA,"BOLSONARO",2020-04-30,"2020-2","BOLSONARO",TRUE,30.0625,25.6750502040348
"791","2020-04",2020,"Brazil","Bolsonaro",28,41,NA,27,4,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-04-30,"2020-2","BOLSONARO",TRUE,30.0625,25.6750502040348
"792","2020-05",2020,"Brazil","Bolsonaro",27,43,NA,26,4,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-05-07,"2020-2","BOLSONARO",TRUE,28.25,25.1184225237303
"793","2020-05",2020,"Brazil","Bolsonaro",32,43.4,NA,22.9,1.7,"Ot-Bom",NA,2002,NA,"O (a) Sr. (a) avalia o governo do presidente Jair Bolsonaro como: Ótimo, Bom, Regular, Ruim, ou P_ssimo?","MDA","CNT/MDA","https://www.cnt.org.br/pesquisas",NA,"BOLSONARO",2020-05-10,"2020-2","BOLSONARO",TRUE,28.25,25.1184225237303
"794","2020-05",2020,"Brazil","Bolsonaro",30,39,NA,27,4,"Ot-Bom",NA,2500,NA,"De maneira geral, como voc� avalia o trabalho do presidente Jair Bolsonaro?","DataPoder360","DataPoder360","https://www.poder360.com.br/datapoder360/entenda-como-foi-realizada-a-pesquisa-datapoder360/",NA,"BOLSONARO",2020-05-13,"2020-2","BOLSONARO",TRUE,28.25,25.1184225237303
"795","2020-05",2020,"Brazil","Bolsonaro",28,44,NA,25,3,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-05-14,"2020-2","BOLSONARO",TRUE,28.25,25.1184225237303
"796","2020-05",2020,"Brazil","Bolsonaro",32,39.6,NA,24.9,3.6,"Ot-Bom",NA,1000,"Online Panel","Na sua opiniÜo, o presidente Jair Bolsonaro estŕ fazendo um governo Ńtimo, bom, regular, ruim ou p_ssimo?","Offerwise","FŃrum/Offerwise","https://revistaforum.com.br/pesquisaforum/governo-bolsonaro-tem-32-de-otimo-e-bom-na-pesquisa-forum-de-maio/",NA,"BOLSONARO",2020-05-17,"2020-2","BOLSONARO",TRUE,28.25,25.1184225237303
"797","2020-05",2020,"Brazil","Bolsonaro",25,50,NA,23,2,"Ot-Bom",NA,1000,NA,"Como o(a) sr(a) avalia o governo de Jair Bolsonaro at_ o momento?","IPESPE","XP-IPESPE","https://conteudos.xpi.com.br/politica/pesquisas-xp-2/",NA,"BOLSONARO",2020-05-18,"2020-2","BOLSONARO",TRUE,28.25,25.1184225237303
"798","2020-05",2020,"Brazil","Bolsonaro",27,43,NA,27,3,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-05-21,"2020-2","BOLSONARO",TRUE,28.25,25.1184225237303
"799","2020-05",2020,"Brazil","Bolsonaro",33,43,NA,22,2,"Ot-Bom",NA,2069,"Telephone","Na sua opinićo o presidente Jair Bolsonaro est_ fazendo um governo Ütimo, bom, regular, ruim ou p_ssimo?","Datafolha","Datafolha","http://datafolha.folha.uol.com.br/opiniaopublica/2020/05/1988731-reprovacao-a-bolsonaro-sobe-atinge-43-aprovacao-fica-estavel.shtml","Phone survey due to the pandemic (Datafolha usually does face to face interviews)","BOLSONARO",2020-05-26,"2020-2","BOLSONARO",TRUE,28.25,25.1184225237303
"800","2020-05",2020,"Brazil","Bolsonaro",23,58,NA,19,0,"Ot-Bom",NA,2000,NA,"Como voc� avalia o governo do Presidente Jair Bolsonaro?","Atlas","Atlas","file: 2020-05-Atlas.pdf",NA,"BOLSONARO",2020-05-26,"2020-2","BOLSONARO",TRUE,28.25,25.1184225237303
"801","2020-05",2020,"Brazil","Bolsonaro",26,49,NA,23,2,"Ot-Bom",NA,1000,NA,"Como o(a) sr(a) avalia o governo de Jair Bolsonaro at_ o momento?","IPESPE","XP-IPESPE","https://conteudos.xpi.com.br/politica/pesquisas-xp-2/",NA,"BOLSONARO",2020-05-27,"2020-2","BOLSONARO",TRUE,28.25,25.1184225237303
"802","2020-05",2020,"Brazil","Bolsonaro",28,44,NA,23,5,"Ot-Bom",NA,2500,NA,"De maneira geral, como voc� avalia o trabalho do presidente Jair Bolsonaro?","DataPoder360","DataPoder360","https://www.poder360.com.br/datapoder360/entenda-como-foi-realizada-a-pesquisa-datapoder360/",NA,"BOLSONARO",2020-05-27,"2020-2","BOLSONARO",TRUE,28.25,25.1184225237303
"803","2020-05",2020,"Brazil","Bolsonaro",28,42,NA,26,4,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-05-28,"2020-2","BOLSONARO",TRUE,28.25,25.1184225237303
"804","2020-06",2020,"Brazil","Bolsonaro",28,47,NA,20,5,"Ot-Bom",NA,2500,NA,"De maneira geral, como voc� avalia o trabalho do presidente Jair Bolsonaro?","DataPoder360","DataPoder360","https://www.poder360.com.br/datapoder360/entenda-como-foi-realizada-a-pesquisa-datapoder360/",NA,"BOLSONARO",2020-06-10,"2020-2","BOLSONARO",TRUE,27.7888888888889,24.8974040622086
"805","2020-06",2020,"Brazil","Bolsonaro",28,48,NA,22,2,"Ot-Bom",NA,1000,NA,"Como o(a) sr(a) avalia o governo de Jair Bolsonaro at_ o momento?","IPESPE","XP-IPESPE","https://conteudos.xpi.com.br/politica/pesquisas-xp-2/",NA,"BOLSONARO",2020-06-11,"2020-2","BOLSONARO",TRUE,27.7888888888889,24.8974040622086
"806","2020-06",2020,"Brazil","Bolsonaro",29,46,NA,0,0,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-06-11,"2020-2","BOLSONARO",TRUE,27.7888888888889,24.8974040622086
"807","2020-06",2020,"Brazil","Bolsonaro",35.1,41.6,NA,21.5,1.8,"Ot-Bom",NA,1000,"Online Panel","Na sua opiniÜo, o presidente Jair Bolsonaro estŕ fazendo um governo Ńtimo, bom, regular, ruim ou p_ssimo?","Offerwise","FŃrum/Offerwise","https://revistaforum.com.br/pesquisaforum/avaliacao-de-bolsonaro-se-mantem-estavel-ruim-e-pessimo-aumentam-mas-otimo-e-bom-tambem/",NA,"BOLSONARO",2020-06-13,"2020-2","BOLSONARO",TRUE,27.7888888888889,24.8974040622086
"808","2020-06",2020,"Brazil","Bolsonaro",21,54,NA,23,2,"Ot-Bom",NA,1000,NA,"Na sua avaliaŤćo, o governo do presidente Jair Bolsonaro est_ sendo Ütimo, bom, regular, ruim ou p_ssimo?","Quaest","JOTA/Quaest","https://www.jota.info/dados/avaliacao-do-governo-bolsonaro-atinge-pior-nivel-em-serie-de-pesquisa-22062020",NA,"BOLSONARO",2020-06-15,"2020-2","BOLSONARO",TRUE,27.7888888888889,24.8974040622086
"809","2020-06",2020,"Brazil","Bolsonaro",25,42,NA,30,3,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-06-18,"2020-2","BOLSONARO",TRUE,27.7888888888889,24.8974040622086
"810","2020-06",2020,"Brazil","Bolsonaro",32,44,NA,23,1,"Ot-Bom",NA,2016,"Telephone","Na sua opinićo o presidente Jair Bolsonaro est_ fazendo um governo Ütimo, bom, regular, ruim ou p_ssimo?","Datafolha","Datafolha","http://datafolha.folha.uol.com.br/opiniaopublica/2020/06/1988765-bolsonaro-e-reprovado-por-44.shtml","Phone survey due to the pandemic (Datafolha usually does face to face interviews)","BOLSONARO",2020-06-24,"2020-2","BOLSONARO",TRUE,27.7888888888889,24.8974040622086
"811","2020-06",2020,"Brazil","Bolsonaro",27,43,NA,28,2,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-06-25,"2020-2","BOLSONARO",TRUE,27.7888888888889,24.8974040622086
"812","2020-06",2020,"Brazil","Bolsonaro",25,56,NA,18,1,"Ot-Bom",NA,2000,"Online","Como voc� avalia o governo do Presidente Jair Bolsonaro?","Atlas","Atlas","https://www.atlasintel.org/poll/brazil-national-2020-07-01",NA,"BOLSONARO",2020-06-30,"2020-2","BOLSONARO",TRUE,27.7888888888889,24.8974040622086
"813","2020-07",2020,"Brazil","Bolsonaro",27,44,NA,25,4,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-07-02,"2020-3","BOLSONARO",TRUE,29.95,23.8116906643328
"814","2020-07",2020,"Brazil","Bolsonaro",31,44,NA,23,2,"Ot-Bom",NA,1500,"Telephone",NA,"Vox","Vox Populi/PT","https://pt.org.br/vox-bolsonaro-derruba-as-expectativas-e-81-dos-brasileiros-estao-pessimistas/",NA,"BOLSONARO",2020-07-03,"2020-3","BOLSONARO",TRUE,29.95,23.8116906643328
"815","2020-07",2020,"Brazil","Bolsonaro",29,46,NA,20,5,"Ot-Bom",NA,2500,"Telephone","De maneira geral, como voc� avalia o trabalho do presidente Jair Bolsonaro?","DataPoder360","DataPoder360","https://www.poder360.com.br/poderdata/entenda-como-foi-realizada-a-pesquisa-datapoder360/",NA,"BOLSONARO",2020-07-08,"2020-3","BOLSONARO",TRUE,29.95,23.8116906643328
"816","2020-07",2020,"Brazil","Bolsonaro",25,41,NA,29,5,"Approval (Otimo, Bom, Regular, Ruim, P_ssimo)","National",NA,"Online",NA,"IdeiaBigData",NA,"Toledo/Piau�",NA,"BOLSONARO",2020-07-09,"2020-3","BOLSONARO",TRUE,29.95,23.8116906643328
"817","2020-07",2020,"Brazil","Bolsonaro",30,45,NA,24,1,"Ot-Bom",NA,1000,"Telephone","Como o(a) sr(a) avalia o governo de Jair Bolsonaro at_ o momento?","IPESPE","XP-IPESPE","https://conteudos.xpi.com.br/politica/pesquisas-xp-2/",NA,"BOLSONARO",2020-07-15,"2020-3","BOLSONARO",TRUE,29.95,23.8116906643328
